date,vente
2023-08-01,17036.75
2023-07-31,12878.16
2023-07-30,21749.92
2023-07-29,40659.01
2023-07-28,30934.98
2023-07-27,37057.46
2023-07-26,34423.87
2023-07-25,27097.28
2023-07-24,19463.96
2023-07-23,30445.09
2023-07-22,35382.07
2023-07-21,31448.54
2023-07-20,38107.57
2023-07-19,21925.86
2023-07-18,17157.44
2023-07-17,13423.93
2023-07-16,18064.98
2023-07-15,32780.37
2023-07-14,33130.59
2023-07-13,22366.81
2023-07-12,20815.71
2023-07-11,14926.34
2023-07-10,10876.69
2023-07-09,15595.49
2023-07-08,44215.45
2023-07-07,37603.77
2023-07-06,37301.45
2023-07-05,37782.23
2023-07-04,26200.4
2023-07-03,28423.75
2023-07-02,32796.43
2023-07-01,33995.92
2023-06-30,39807.12
2023-06-29,35566.05
2023-06-28,20233.6
2023-06-27,16165.28
2023-06-26,11787.57
2023-06-25,14419.24
2023-06-24,21014.8
2023-06-23,19835.27
2023-06-22,29726.44
2023-06-21,27496.58
2023-06-20,21226.4
2023-06-19,12537.3
2023-06-18,27189.95
2023-06-17,38546.22
2023-06-16,36604.51
2023-06-15,37094.28
2023-06-14,32118.51
2023-06-13,24425.61
2023-06-12,14975.52
2023-06-11,21419.25
2023-06-10,0.0
2023-06-09,72979.57
2023-06-08,26867.75
2023-06-07,24230.6
2023-06-06,18644.43
2023-06-05,11010.71
2023-06-04,20052.76
2023-06-03,30470.65
2023-06-02,25173.32
2023-06-01,25079.45
2023-05-31,24029.49
2023-05-30,19833.45
2023-05-29,21835.55
2023-05-28,16820.12
2023-05-27,28250.22
2023-05-26,20027.08
2023-05-25,26449.53
2023-05-24,18908.1
2023-05-23,13542.26
2023-05-22,18328.69
2023-05-21,21561.93
2023-05-20,33130.85
2023-05-19,33791.64
2023-05-18,25052.35
2023-05-17,24781.9
2023-05-16,22688.75
2023-05-15,15695.51
2023-05-14,17398.3
2023-05-13,25229.97
2023-05-12,32324.88
2023-05-11,31817.86
2023-05-10,30053.36
2023-05-09,21927.69
2023-05-08,15111.09
2023-05-07,22124.03
2023-05-06,29418.82
2023-05-05,18888.29
2023-05-04,24685.47
2023-05-03,22604.64
2023-05-02,24006.33
2023-05-01,17269.41
2023-04-30,20881.79
2023-04-29,23885.73
2023-04-28,21395.9
2023-04-27,23493.48
2023-04-26,25289.12
2023-04-25,20462.23
2023-04-24,12743.22
2023-04-23,13672.95
2023-04-22,24979.57
2023-04-21,23626.31
2023-04-20,27800.26
2023-04-19,23329.72
2023-04-18,16949.02
2023-04-17,15082.28
2023-04-16,19069.33
2023-04-15,28840.26
2023-04-14,30914.53
2023-04-13,29241.37
2023-04-12,20138.01
2023-04-11,16156.96
2023-04-10,9149.08
2023-04-09,11132.96
2023-04-08,25311.81
2023-04-07,21197.22
2023-04-06,28161.84
2023-04-05,19059.55
2023-04-04,15672.26
2023-04-03,14292.79
2023-04-02,17321.79
2023-04-01,23281.74
2023-03-31,19736.43
2023-03-30,22680.5
2023-03-29,18605.92
2023-03-28,18851.84
2023-03-27,11032.91
2023-03-26,14507.96
2023-03-25,20000.6
2023-03-24,19290.56
2023-03-23,21932.38
2023-03-22,19105.7
2023-03-21,17688.49
2023-03-20,9441.3
2023-03-19,18405.64
2023-03-18,26337.32
2023-03-17,22151.23
2023-03-16,25953.36
2023-03-15,26004.89
2023-03-14,18521.84
2023-03-13,11360.81
2023-03-12,12352.53
2023-03-11,24198.74
2023-03-10,18888.76
2023-03-09,21405.05
2023-03-08,19363.69
2023-03-07,15680.5
2023-03-06,7290.88
2023-03-05,15203.16
2023-03-04,25126.67
2023-03-03,25504.49
2023-03-02,24058.13
2023-03-01,22264.73
2023-02-28,15955.36
2023-02-27,10276.78
2023-02-26,16317.54
2023-02-25,36390.13
2023-02-24,25036.25
2023-02-23,18205.66
2023-02-22,22084.76
2023-02-21,18422.87
2023-02-20,12131.68
2023-02-19,19344.28
2023-02-18,25007.15
2023-02-17,22833.04
2023-02-16,24521.77
2023-02-15,20167.8
2023-02-14,16189.45
2023-02-13,9590.42
2023-02-12,21276.08
2023-02-11,26584.23
2023-02-10,20502.36
2023-02-09,20577.18
2023-02-08,19448.1
2023-02-07,12543.57
2023-02-06,7304.74
2023-02-05,7506.73
2023-02-04,16618.28
2023-02-03,19406.46
2023-02-02,18347.62
2023-02-01,17156.8
2023-01-31,17287.8
2023-01-30,5935.7
2023-01-29,15480.21
2023-01-28,22587.27
2023-01-27,19977.71
2023-01-26,19326.66
2023-01-25,18319.22
2023-01-24,16882.71
2023-01-23,4889.34
2023-01-22,16284.27
2023-01-21,27227.81
2023-01-20,21483.54
2023-01-19,21706.18
2023-01-18,18288.22
2023-01-17,17590.07
2023-01-16,11516.73
2023-01-15,16231.39
2023-01-14,21918.81
2023-01-13,18129.87
2023-01-12,21100.52
2023-01-11,18088.14
2023-01-10,11406.17
2023-01-09,9308.2
2023-01-08,11701.32
2023-01-07,19170.07
2023-01-06,19270.6
2023-01-05,19904.13
2023-01-04,15042.41
2023-01-03,12744.59
2023-01-02,15402.63
2023-01-01,0.0
2022-12-31,26550.87
2022-12-30,26902.62
2022-12-29,27897.78
2022-12-28,23726.8
2022-12-27,18125.45
2022-12-26,15312.45
2022-12-25,0.0
2022-12-24,2592.99
2022-12-23,16382.1
2022-12-22,25502.77
2022-12-21,26703.96
2022-12-20,16746.06
2022-12-19,12187.75
2022-12-18,20228.11
2022-12-17,24456.1
2022-12-16,21955.5
2022-12-15,25557.91
2022-12-14,27871.67
2022-12-13,21572.31
2022-12-12,13473.52
2022-12-11,19975.53
2022-12-10,26131.22
2022-12-09,26648.58
2022-12-08,24256.74
2022-12-07,22389.15
2022-12-06,16641.44
2022-12-05,12430.0
2022-12-04,18481.22
2022-12-03,28710.01
2022-12-02,31430.53
2022-12-01,43708.15
2022-11-30,9161.57
2022-11-29,20153.05
2022-11-28,16572.94
2022-11-27,20491.11
2022-11-26,26624.71
2022-11-25,26288.02
2022-11-24,27475.26
2022-11-23,27512.82
2022-11-22,21107.58
2022-11-21,15151.13
2022-11-20,17657.4
2022-11-19,27036.51
2022-11-18,17553.34
2022-11-17,21760.31
2022-11-16,18358.4
2022-11-15,17761.8
2022-11-14,10013.34
2022-11-13,14003.97
2022-11-12,27725.81
2022-11-11,23034.57
2022-11-10,24468.33
2022-11-09,22996.93
2022-11-08,17637.11
2022-11-07,10276.22
2022-11-06,14975.14
2022-11-05,24757.11
2022-11-04,20378.5
2022-11-03,21985.87
2022-11-02,19450.92
2022-11-01,19070.42
2022-10-31,7745.57
2022-10-30,18004.88
2022-10-29,23590.19
2022-10-28,18947.45
2022-10-27,23417.9
2022-10-26,19864.53
2022-10-25,19266.81
2022-10-24,15883.7
2022-10-23,16787.18
2022-10-22,25680.32
2022-10-21,24560.64
2022-10-20,25050.18
2022-10-19,21463.61
2022-10-18,18110.52
2022-10-17,12758.49
2022-10-16,22383.14
2022-10-15,24624.29
2022-10-14,22338.9
2022-10-13,21577.4
2022-10-12,21287.52
2022-10-11,13571.74
2022-10-10,10289.05
2022-10-09,17127.23
2022-10-08,24856.61
2022-10-07,22004.33
2022-10-06,26728.49
2022-10-05,19703.68
2022-10-04,16459.53
2022-10-03,12248.34
2022-10-02,15323.09
2022-10-01,20341.09
2022-09-30,20487.15
2022-09-29,23064.17
2022-09-28,20578.09
2022-09-27,13407.67
2022-09-26,11166.76
2022-09-25,13151.22
2022-09-24,21048.53
2022-09-23,22843.73
2022-09-22,24546.48
2022-09-21,20091.87
2022-09-20,13914.92
2022-09-19,11042.43
2022-09-18,13518.5
2022-09-17,17091.47
2022-09-16,17286.53
2022-09-15,19611.95
2022-09-14,14208.68
2022-09-13,15347.98
2022-09-12,12159.54
2022-09-11,15298.73
2022-09-10,24161.1
2022-09-09,18808.28
2022-09-08,25055.51
2022-09-07,14663.89
2022-09-06,9783.58
2022-09-05,9720.03
2022-09-04,14060.12
2022-09-03,21978.34
2022-09-02,22473.27
2022-09-01,19701.63
2022-08-31,17618.1
2022-08-30,11874.19
2022-08-29,15629.35
2022-08-28,14044.91
2022-08-27,25036.35
2022-08-26,21289.36
2022-08-25,24256.6
2022-08-24,20532.31
2022-08-23,18081.28
2022-08-22,17123.99
2022-08-21,15376.01
2022-08-20,27454.49
2022-08-19,23714.81
2022-08-18,19638.72
2022-08-17,21794.24
2022-08-16,19492.84
2022-08-15,14626.81
2022-08-14,20705.96
2022-08-13,28090.94
2022-08-12,26287.82
2022-08-11,23432.8
2022-08-10,19504.55
2022-08-09,18389.21
2022-08-08,11689.52
2022-08-07,18224.15
2022-08-06,21608.51
2022-08-05,16911.97
2022-08-04,22298.33
2022-08-03,17604.41
2022-08-02,16729.21
2022-08-01,13160.94
2022-07-31,19343.19
2022-07-30,33174.22
2022-07-29,28363.04
2022-07-28,29019.5
2022-07-27,26915.39
2022-07-26,20307.33
2022-07-25,14746.59
2022-07-24,12980.79
2022-07-23,25387.39
2022-07-22,32475.21
2022-07-21,30425.95
2022-07-20,24089.01
2022-07-19,19346.36
2022-07-18,11253.04
2022-07-17,17714.37
2022-07-16,26005.0
2022-07-15,23476.56
2022-07-14,26207.97
2022-07-13,20374.67
2022-07-12,14078.36
2022-07-11,11640.24
2022-07-10,17587.16
2022-07-09,41396.07
2022-07-08,33045.14
2022-07-07,33115.32
2022-07-06,29327.36
2022-07-05,21955.37
2022-07-04,23386.06
2022-07-03,27218.25
2022-07-02,33772.67
2022-07-01,35299.87
2022-06-30,32116.54
2022-06-29,16207.7
2022-06-28,18662.59
2022-06-27,15065.44
2022-06-26,18640.88
2022-06-25,26162.86
2022-06-24,29215.95
2022-06-23,28872.13
2022-06-22,26703.18
2022-06-21,26462.4
2022-06-20,23438.0
2022-06-19,29088.85
2022-06-18,34984.49
2022-06-17,33417.77
2022-06-16,31006.13
2022-06-15,30542.73
2022-06-14,27963.58
2022-06-13,22985.13
2022-06-12,15811.99
2022-06-11,31596.78
2022-06-10,28678.83
2022-06-09,25491.55
2022-06-08,22045.51
2022-06-07,20235.86
2022-06-06,16569.92
2022-06-05,22517.86
2022-06-04,21828.06
2022-06-03,24685.27
2022-06-02,24936.47
2022-06-01,19977.78
2022-05-31,19910.06
2022-05-30,16494.14
2022-05-29,22840.59
2022-05-28,25057.34
2022-05-27,23012.85
2022-05-26,24278.08
2022-05-25,23820.45
2022-05-24,13929.29
2022-05-23,16183.61
2022-05-22,23382.38
2022-05-21,26467.96
2022-05-20,24316.6
2022-05-19,22187.26
2022-05-18,19660.3
2022-05-17,17123.96
2022-05-16,10113.34
2022-05-15,20067.15
2022-05-14,25992.03
2022-05-13,25548.14
2022-05-12,25864.98
2022-05-11,17220.77
2022-05-10,17092.35
2022-05-09,10878.17
2022-05-08,13532.72
2022-05-07,25238.13
2022-05-06,23297.92
2022-05-05,19757.02
2022-05-04,19279.63
2022-05-03,17909.33
2022-05-02,13827.46
2022-05-01,15807.44
2022-04-30,21771.06
2022-04-29,21445.82
2022-04-28,22930.7
2022-04-27,14774.86
2022-04-26,13736.38
2022-04-25,10553.03
2022-04-24,12805.74
2022-04-23,21227.85
2022-04-22,19462.17
2022-04-21,21833.49
2022-04-20,11964.95
2022-04-19,10104.83
2022-04-18,8220.69
2022-04-17,11353.46
2022-04-16,24903.76
2022-04-15,23114.95
2022-04-14,18648.24
2022-04-13,17046.58
2022-04-12,13042.48
2022-04-11,8885.55
2022-04-10,7556.78
2022-04-09,26602.08
2022-04-08,21146.95
2022-04-07,18081.47
2022-04-06,18666.58
2022-04-05,11952.35
2022-04-04,7984.27
2022-04-03,9997.02
2022-04-02,20673.82
2022-04-01,15776.44
2022-03-31,17975.94
2022-03-30,14128.87
2022-03-29,15376.55
2022-03-28,11377.15
2022-03-27,13504.02
2022-03-26,23499.61
2022-03-25,19319.51
2022-03-24,18632.81
2022-03-23,16335.82
2022-03-22,10361.7
2022-03-21,10472.72
2022-03-20,13253.74
2022-03-19,22776.1
2022-03-18,20894.61
2022-03-17,23790.89
2022-03-16,16177.54
2022-03-15,12399.73
2022-03-14,9296.5
2022-03-13,15780.26
2022-03-12,22459.96
2022-03-11,21701.11
2022-03-10,18384.33
2022-03-09,15096.93
2022-03-08,10614.79
2022-03-07,6167.3
2022-03-06,6951.16
2022-03-05,25804.94
2022-03-04,24763.33
2022-03-03,21020.58
2022-03-02,16695.2
2022-03-01,14021.22
2022-02-28,11730.9
2022-02-27,12866.77
2022-02-26,23639.93
2022-02-25,17080.67
2022-02-24,15466.96
2022-02-23,11258.26
2022-02-22,6865.99
2022-02-21,8460.96
2022-02-20,13270.95
2022-02-19,16986.45
2022-02-18,13427.34
2022-02-17,7978.58
2022-02-16,6560.14
2022-02-15,8344.08
2022-02-14,6628.05
2022-02-13,16212.82
2022-02-12,11554.34
2022-02-11,11533.26
2022-02-10,9629.79
2022-02-09,5524.67
2022-02-08,6819.03
2022-02-07,3609.89
2022-02-06,6227.33
2022-02-05,11053.62
2022-02-04,8608.99
2022-02-03,6482.46
2022-02-02,7062.6
2022-02-01,6391.06
2022-01-31,5153.86
2022-01-30,1773.0
2022-01-29,1792.25
2022-01-28,1957.5
2022-01-27,1804.0
2022-01-26,1706.0
2022-01-25,806.75
2022-01-24,609.75
2022-01-23,968.25
2022-01-22,1484.75
2022-01-21,1198.75
2022-01-20,1561.45
2022-01-19,0.0
2022-01-18,23.25
2022-01-17,0.0
2022-01-16,1461.25
2022-01-15,1346.25
2022-01-14,1600.25
2022-01-13,1046.25
2022-01-12,864.25
2022-01-11,615.75
2022-01-10,718.75
2022-01-09,717.0
2022-01-08,1139.75
2022-01-07,1673.75
2022-01-06,947.25
2022-01-05,689.25
2022-01-04,1056.5
2022-01-03,607.0
2022-01-02,0.0
2022-01-01,0.0
2021-12-31,3111.27
2021-12-30,10243.72
2021-12-29,9690.9
2021-12-28,9758.78
2021-12-27,9310.23
2021-12-26,7351.65
2021-12-25,59.75
2021-12-24,2054.39
2021-12-23,8187.91
2021-12-22,8034.81
2021-12-21,8512.81
2021-12-20,8444.87
2021-12-19,7294.26
2021-12-18,73.32
2021-12-17,17067.77
2021-12-16,18761.73
2021-12-15,16051.35
2021-12-14,16123.19
2021-12-13,8695.38
2021-12-12,8445.12
2021-12-11,22982.73
2021-12-10,21782.19
2021-12-09,22869.43
2021-12-08,17036.46
2021-12-07,13400.49
2021-12-06,7664.9
2021-12-05,11199.67
2021-12-04,20396.68
2021-12-03,22468.92
2021-12-02,19954.53
2021-12-01,16503.29
2021-11-30,12222.85
2021-11-29,9020.97
2021-11-28,9575.49
2021-11-27,17956.02
2021-11-26,20224.22
2021-11-25,20414.99
2021-11-24,19390.95
2021-11-23,13217.76
2021-11-22,11041.49
2021-11-21,0.0
2021-11-20,19450.45
2021-11-19,19811.47
2021-11-18,17354.87
2021-11-17,13452.37
2021-11-16,11238.76
2021-11-15,6532.22
2021-11-14,9829.09
2021-11-13,15731.05
2021-11-12,12414.31
2021-11-11,15405.94
2021-11-10,12932.66
2021-11-09,11158.78
2021-11-08,6878.69
2021-11-07,9263.14
2021-11-06,17174.49
2021-11-05,14569.94
2021-11-04,15886.29
2021-11-03,14973.99
2021-11-02,14167.29
2021-11-01,9065.85
2021-10-31,7826.84
2021-10-30,16396.16
2021-10-29,18859.19
2021-10-28,15813.4
2021-10-27,14949.74
2021-10-26,10252.28
2021-10-25,8734.47
2021-10-24,8496.86
2021-10-23,14980.34
2021-10-22,19806.56
2021-10-21,16088.59
2021-10-20,12241.22
2021-10-19,13174.2
2021-10-18,11068.27
2021-10-17,5826.48
2021-10-16,12409.41
2021-10-15,16985.87
2021-10-14,18323.17
2021-10-13,16428.72
2021-10-12,10081.82
2021-10-11,12433.44
2021-10-10,10976.23
2021-10-09,15201.21
2021-10-08,17669.19
2021-10-07,16261.91
2021-10-06,11206.78
2021-10-05,8129.87
2021-10-04,7158.07
2021-10-03,6001.25
2021-10-02,13683.02
2021-10-01,11263.09
2021-09-30,13038.53
2021-09-29,10207.03
2021-09-28,11223.06
2021-09-27,7404.63
2021-09-26,8935.67
2021-09-25,18268.74
2021-09-24,16686.18
2021-09-23,15022.05
2021-09-22,12647.8
2021-09-21,10251.93
2021-09-20,10179.1
2021-09-19,12515.3
2021-09-18,20636.79
2021-09-17,21499.63
2021-09-16,19509.97
2021-09-15,14273.37
2021-09-14,10007.51
2021-09-13,8246.78
2021-09-12,13484.45
2021-09-11,17803.55
2021-09-10,16989.43
2021-09-09,16146.11
2021-09-08,8228.45
2021-09-07,7507.29
2021-09-06,8415.32
2021-09-05,8649.03
2021-09-04,16777.33
2021-09-03,15489.02
2021-09-02,11936.03
2021-09-01,9318.55
2021-08-31,11907.59
2021-08-30,7925.07
2021-08-29,7904.68
2021-08-28,13622.17
2021-08-27,22269.41
2021-08-26,15809.66
2021-08-25,12881.59
2021-08-24,13275.41
2021-08-23,11192.24
2021-08-22,11158.49
2021-08-21,15942.67
2021-08-20,19998.95
2021-08-19,16579.52
2021-08-18,13283.99
2021-08-17,9444.95
2021-08-16,9031.17
2021-08-15,11972.85
2021-08-14,17649.35
2021-08-13,18081.46
2021-08-12,14201.67
2021-08-11,12266.96
2021-08-10,11247.76
2021-08-09,8848.74
2021-08-08,9089.77
2021-08-07,17847.65
2021-08-06,15453.54
2021-08-05,15075.39
2021-08-04,12439.31
2021-08-03,11361.69
2021-08-02,12630.32
2021-08-01,11979.18
2021-07-31,18143.16
2021-07-30,18118.34
2021-07-29,14334.62
2021-07-28,14675.34
2021-07-27,12246.68
2021-07-26,12892.59
2021-07-25,10406.95
2021-07-24,16540.36
2021-07-23,20026.03
2021-07-22,17685.93
2021-07-21,14814.1
2021-07-20,14936.99
2021-07-19,14399.46
2021-07-18,12563.68
2021-07-17,15885.64
2021-07-16,12779.27
2021-07-15,17233.37
2021-07-14,10188.37
2021-07-13,11223.74
2021-07-12,9839.18
2021-07-11,12657.82
2021-07-10,17109.54
2021-07-09,13259.46
2021-07-08,11658.1
2021-07-07,20042.46
2021-07-06,8085.93
2021-07-05,13793.75
2021-07-04,9912.8
2021-07-03,14573.93
2021-07-02,23898.76
2021-07-01,17302.85
2021-06-30,17082.94
2021-06-29,8033.3
2021-06-28,14233.12
2021-06-27,9471.85
2021-06-26,8610.78
2021-06-25,13176.46
2021-06-24,23154.15
2021-06-23,15599.68
2021-06-22,11683.43
2021-06-21,5394.34
2021-06-20,14138.69
2021-06-19,13441.59
2021-06-18,17122.04
2021-06-17,12462.44
2021-06-16,16020.06
2021-06-15,8190.38
2021-06-14,9943.59
2021-06-13,9698.08
2021-06-12,12929.03
2021-06-11,15455.19
2021-06-10,10727.6
2021-06-09,10256.23
2021-06-08,1458.08
2021-06-07,10984.39
2021-06-06,6235.9
2021-06-05,6106.2
2021-06-04,10387.95
2021-06-03,1985.42
2021-06-02,9824.28
2021-06-01,1346.39
2021-05-31,1501.39
2021-05-30,3467.95
2021-05-29,8035.07
2021-05-28,11215.21
2021-05-27,2153.18
2021-05-26,1658.6
2021-05-25,1482.64
2021-05-24,2000.79
2021-05-23,1875.58
2021-05-22,2768.23
2021-05-21,2936.52
2021-05-20,3125.29
2021-05-19,1767.71
2021-05-18,1766.13
2021-05-17,1321.45
2021-05-16,1560.19
2021-05-15,2111.02
2021-05-14,2476.1
2021-05-13,2556.96
2021-05-12,1725.29
2021-05-11,1222.87
2021-05-10,1050.22
2021-05-09,1394.39
2021-05-08,2254.65
2021-05-07,2480.99
2021-05-06,2045.59
2021-05-05,1647.37
2021-05-04,1127.46
