,time,apparent_temperature_max,apparent_temperature_min,sunset,uv_index_max,rain_sum,showers_sum,snowfall_sum,precipitation_hours
0,2022-08-02,,,20.35,,,,,0.0
1,2022-08-03,,,20.32,,,,,0.0
2,2022-08-04,,,20.3,,,,,0.0
3,2022-08-05,,,20.28,,,,,0.0
4,2022-08-06,,,20.25,,,,,0.0
5,2022-08-07,,,20.23,,,,,0.0
6,2022-08-08,,,20.2,,,,,0.0
7,2022-08-09,,,20.18,,,,,0.0
8,2022-08-10,,,20.15,,,,,0.0
9,2022-08-11,,,20.13,,,,,0.0
10,2022-08-12,,,20.1,,,,,0.0
11,2022-08-13,,,20.08,,,,,0.0
12,2022-08-14,,,20.05,,,,,0.0
13,2022-08-15,,,20.03,,,,,0.0
14,2022-08-16,,,20.0,,,,,0.0
15,2022-08-17,,,19.97,,,,,0.0
16,2022-08-18,,,19.95,,,,,0.0
17,2022-08-19,,,19.92,,,,,0.0
18,2022-08-20,,,19.88,,,,,0.0
19,2022-08-21,,,19.87,,,,,0.0
20,2022-08-22,,,19.83,,,,,0.0
21,2022-08-23,,,19.8,,,,,0.0
22,2022-08-24,,,19.77,,,,,0.0
23,2022-08-25,,,19.75,,,,,0.0
24,2022-08-26,,,19.72,,,,,0.0
25,2022-08-27,,,19.68,,,,,0.0
26,2022-08-28,,,19.65,,,,,0.0
27,2022-08-29,,,19.62,,,,,0.0
28,2022-08-30,,,19.6,,,,,0.0
29,2022-08-31,,,19.57,,,,,0.0
30,2022-09-01,,,19.53,,,,,0.0
31,2022-09-02,,,19.5,,,,,0.0
32,2022-09-03,,,19.47,,,,,0.0
33,2022-09-04,,,19.43,,,,,0.0
34,2022-09-05,,,19.4,,,,,0.0
35,2022-09-06,,,19.38,,,,,0.0
36,2022-09-07,,,19.35,,,,,0.0
37,2022-09-08,,,19.32,,,,,0.0
38,2022-09-09,,,19.28,,,,,0.0
39,2022-09-10,,,19.25,,,,,0.0
40,2022-09-11,,,19.22,,,,,0.0
41,2022-09-12,,,19.18,,,,,0.0
42,2022-09-13,,,19.15,,,,,0.0
43,2022-09-14,,,19.12,,,,,0.0
44,2022-09-15,,,19.08,,,,,0.0
45,2022-09-16,,,19.05,,,,,0.0
46,2022-09-17,,,19.02,,,,,0.0
47,2022-09-18,,,18.98,,,,,0.0
48,2022-09-19,,,18.95,,,,,0.0
49,2022-09-20,,,18.93,,,,,0.0
50,2022-09-21,,,18.9,,,,,0.0
51,2022-09-22,,,18.87,,,,,0.0
52,2022-09-23,,,18.83,,,,,0.0
53,2022-09-24,,,18.8,,,,,0.0
54,2022-09-25,,,18.77,,,,,0.0
55,2022-09-26,,,18.73,,,,,0.0
56,2022-09-27,,,18.7,,,,,0.0
57,2022-09-28,,,18.67,,,,,0.0
58,2022-09-29,,,18.63,,,,,0.0
59,2022-09-30,,,18.6,,,,,0.0
60,2022-10-01,,,18.57,,,,,0.0
61,2022-10-02,,,18.53,,,,,0.0
62,2022-10-03,,,18.52,,,,,0.0
63,2022-10-04,,,18.48,,,,,0.0
64,2022-10-05,,,18.45,,,,,0.0
65,2022-10-06,,,18.42,,,,,0.0
66,2022-10-07,,,18.38,,,,,0.0
67,2022-10-08,,,18.35,,,,,0.0
68,2022-10-09,,,18.32,,,,,0.0
69,2022-10-10,,,18.3,,,,,0.0
70,2022-10-11,,,18.27,,,,,0.0
71,2022-10-12,,,18.23,,,,,0.0
72,2022-10-13,,,18.2,,,,,0.0
73,2022-10-14,,,18.17,,,,,0.0
74,2022-10-15,,,18.15,,,,,0.0
75,2022-10-16,,,18.12,,,,,0.0
76,2022-10-17,,,18.08,,,,,0.0
77,2022-10-18,,,18.05,,,,,0.0
78,2022-10-19,,,18.03,,,,,0.0
79,2022-10-20,,,18.0,,,,,0.0
80,2022-10-21,,,17.97,,,,,0.0
81,2022-10-22,,,17.95,,,,,0.0
82,2022-10-23,,,17.92,,,,,0.0
83,2022-10-24,,,17.88,,,,,0.0
84,2022-10-25,,,17.87,,,,,0.0
85,2022-10-26,,,17.83,,,,,0.0
86,2022-10-27,,,17.8,,,,,0.0
87,2022-10-28,,,17.78,,,,,0.0
88,2022-10-29,,,17.75,,,,,0.0
89,2022-10-30,,,17.73,,,,,0.0
90,2022-10-31,,,17.72,,,,,0.0
91,2022-11-01,,,17.68,,,,,0.0
92,2022-11-02,,,17.67,,,,,0.0
93,2022-11-03,,,17.63,,,,,0.0
94,2022-11-04,16.1,6.8,17.62,,0.0,0.0,0.0,0.0
95,2022-11-05,21.8,11.1,17.6,,0.01,0.2,0.0,2.0
96,2022-11-06,18.7,14.6,17.57,,6.62,4.1,0.0,10.0
97,2022-11-07,14.1,1.7,17.55,,0.0,0.0,0.0,0.0
98,2022-11-08,2.6,-2.6,17.53,,0.0,0.0,0.0,0.0
99,2022-11-09,3.8,-3.4,17.5,,0.0,0.0,0.0,0.0
100,2022-11-10,12.1,1.4,17.48,,0.0,0.0,0.0,0.0
101,2022-11-11,14.1,7.1,17.47,,24.6,0.1,0.0,6.0
102,2022-11-12,14.7,4.6,17.45,,28.24,0.5,0.0,13.0
103,2022-11-13,5.4,-5.6,17.43,,1.05,0.0,0.0,3.0
104,2022-11-14,-2.9,-7.8,17.42,,0.0,0.0,0.0,0.0
105,2022-11-15,-1.8,-7.0,17.4,,0.0,0.0,0.0,0.0
106,2022-11-16,-2.8,-5.3,17.38,,24.15,0.0,1.89,13.0
107,2022-11-17,-4.5,-11.3,17.37,,0.0,0.0,0.0,0.0
108,2022-11-18,-5.2,-11.7,17.35,,0.15,0.0,0.0,1.0
109,2022-11-19,-2.7,-7.6,17.33,,1.2,0.0,0.0,3.0
110,2022-11-20,-5.6,-14.1,17.32,,0.3,0.0,0.0,1.0
111,2022-11-21,-2.7,-14.0,17.3,,0.0,0.0,0.0,0.0
112,2022-11-22,-3.2,-8.3,17.28,,0.0,0.0,0.0,0.0
113,2022-11-23,-1.0,-6.8,17.28,,0.0,0.0,0.0,0.0
114,2022-11-24,-1.4,-7.0,17.27,,0.0,0.0,0.0,0.0
115,2022-11-25,1.3,-6.6,17.25,,6.3,0.0,0.0,8.0
116,2022-11-26,3.3,-3.2,17.25,,0.0,0.0,0.0,0.0
117,2022-11-27,6.2,-0.6,17.23,,6.0,0.0,0.0,4.0
118,2022-11-28,0.3,-4.4,17.22,,4.65,0.0,0.0,6.0
119,2022-11-29,-3.0,-6.3,17.22,,0.0,0.0,0.0,0.0
120,2022-11-30,3.3,-4.4,17.2,,24.0,0.0,0.0,11.0
121,2022-12-01,-3.5,-6.8,17.2,,0.45,0.0,0.0,2.0
122,2022-12-02,-1.0,-8.5,17.2,,0.0,0.0,0.0,0.0
123,2022-12-03,3.6,-2.8,17.18,,11.7,0.0,0.0,12.0
124,2022-12-04,-3.4,-8.7,17.18,,0.0,0.0,0.0,0.0
125,2022-12-05,0.8,-4.6,17.18,,0.0,0.0,0.0,0.0
126,2022-12-06,5.0,-2.0,17.18,,29.1,0.0,0.0,10.0
127,2022-12-07,7.8,3.3,17.17,,9.3,0.0,0.0,7.0
128,2022-12-08,2.8,-5.0,17.17,,0.0,0.0,0.0,0.0
129,2022-12-09,-5.8,-14.0,17.17,,0.0,0.0,0.0,0.0
130,2022-12-10,-10.3,-16.3,17.17,,0.0,0.0,0.0,0.0
131,2022-12-11,-10.0,-14.2,17.17,,0.0,0.0,0.0,0.0
132,2022-12-12,-8.3,-15.1,17.17,,0.0,0.0,0.0,0.0
133,2022-12-13,-5.9,-13.8,17.17,,0.0,0.0,0.0,0.0
134,2022-12-14,-1.9,-13.2,17.18,,0.0,0.0,0.0,0.0
135,2022-12-15,0.4,-4.2,17.18,,0.0,0.0,0.0,0.0
136,2022-12-16,-2.7,-5.4,17.18,,23.55,0.0,0.0,16.0
137,2022-12-17,-2.9,-5.1,17.18,,28.95,0.0,0.0,24.0
138,2022-12-18,-3.2,-7.9,17.2,,0.0,0.0,0.0,0.0
139,2022-12-19,-4.3,-9.2,17.2,,0.15,0.0,0.0,1.0
140,2022-12-20,-6.2,-10.4,17.22,,0.0,0.0,0.0,0.0
141,2022-12-21,-3.5,-10.8,17.22,,0.0,0.0,0.0,0.0
142,2022-12-22,-8.3,-14.4,17.23,,0.75,0.0,0.0,1.0
143,2022-12-23,1.8,-15.7,17.23,,33.75,0.0,0.0,21.0
144,2022-12-24,-15.1,-18.2,17.25,,6.45,0.0,0.0,9.0
145,2022-12-25,-9.5,-15.9,17.25,,1.5,0.0,0.0,5.0
146,2022-12-26,-8.5,-14.7,17.27,,0.75,0.0,0.0,3.0
147,2022-12-27,-9.0,-13.4,17.28,,1.2,0.0,0.0,5.0
148,2022-12-28,-3.5,-12.7,17.28,,7.05,0.0,0.0,15.0
149,2022-12-29,0.5,-6.8,17.3,,0.0,0.0,0.0,0.0
150,2022-12-30,6.1,-0.3,17.32,,0.9,0.0,0.0,4.0
151,2022-12-31,7.2,3.6,17.33,,9.15,0.0,0.0,15.0
152,2023-01-01,4.0,-3.2,17.35,,11.7,0.0,0.0,14.0
153,2023-01-02,1.3,-2.2,17.37,,0.45,0.0,0.0,2.0
154,2023-01-03,0.8,-3.2,17.37,,0.0,0.0,0.0,0.0
155,2023-01-04,-1.0,-8.0,17.38,,1.5,0.0,0.0,5.0
156,2023-01-05,-7.3,-11.0,17.42,,26.4,0.0,0.0,9.0
157,2023-01-06,-2.7,-8.2,17.43,,0.6,0.0,0.0,3.0
158,2023-01-07,-2.6,-14.2,17.45,,0.6,0.0,0.0,3.0
159,2023-01-08,-9.4,-15.7,17.47,,0.0,0.0,0.0,0.0
160,2023-01-09,-4.8,-8.5,17.48,,1.2,0.0,0.0,6.0
161,2023-01-10,-6.1,-17.3,17.5,,0.0,0.0,0.0,0.0
162,2023-01-11,-13.5,-18.6,17.52,,0.0,0.0,0.0,0.0
163,2023-01-12,-3.2,-14.1,17.55,,19.65,0.0,0.0,14.0
164,2023-01-13,-5.5,-9.2,17.57,,26.9,0.0,0.0,20.0
165,2023-01-14,-8.8,-13.6,17.58,,0.0,0.0,0.0,0.0
166,2023-01-15,-9.4,-16.5,17.6,,0.0,0.0,0.0,0.0
167,2023-01-16,-7.4,-17.2,17.63,,0.0,0.0,0.0,0.0
168,2023-01-17,-5.8,-15.9,17.65,,0.0,0.0,0.0,0.0
169,2023-01-18,-2.5,-6.6,17.67,,0.6,0.0,0.0,3.0
170,2023-01-19,-3.5,-8.1,17.68,,0.1,0.0,0.0,1.0
171,2023-01-20,-5.8,-8.6,17.72,,13.3,0.0,0.0,20.0
172,2023-01-21,-5.6,-9.8,17.73,,0.0,0.0,0.0,0.0
173,2023-01-22,-3.7,-7.3,17.75,,0.7,0.0,0.0,2.0
174,2023-01-23,-4.2,-7.5,17.78,,0.2,0.0,0.0,1.0
175,2023-01-24,-3.2,-9.7,17.8,,0.5,0.0,0.0,2.0
176,2023-01-25,-10.8,-19.8,17.83,,11.4,0.0,0.0,5.0
177,2023-01-26,-8.7,-12.6,17.85,,11.7,0.0,0.0,17.0
178,2023-01-27,-7.3,-16.2,17.88,,0.9,0.0,0.0,6.0
179,2023-01-28,-3.7,-10.4,17.9,,2.2,0.0,0.0,4.0
180,2023-01-29,-7.5,-16.2,17.92,,11.2,0.0,0.0,14.0
181,2023-01-30,-12.5,-14.8,17.95,,2.6,0.0,0.0,10.0
182,2023-01-31,-11.8,-19.7,17.97,,0.0,0.0,0.0,0.0
183,2023-02-01,-12.4,-25.6,18.0,,0.0,0.0,0.0,0.0
184,2023-02-02,-7.2,-13.5,18.02,,0.3,0.0,0.0,2.0
185,2023-02-03,-14.5,-34.0,18.05,,0.0,0.0,0.0,0.0
186,2023-02-04,-21.0,-35.4,18.07,,0.0,0.0,0.0,0.0
187,2023-02-05,-12.3,-21.2,18.1,,1.0,0.0,0.0,4.0
188,2023-02-06,-8.2,-15.5,18.12,,0.4,0.0,0.0,2.0
189,2023-02-07,-3.4,-20.5,18.15,,0.8,0.0,0.0,2.0
190,2023-02-08,-0.6,-4.2,18.17,,0.4,0.0,0.0,1.0
191,2023-02-09,-1.8,-12.5,18.18,,11.3,0.0,0.0,7.0
192,2023-02-10,-0.5,-5.2,18.22,,6.2,0.0,0.0,11.0
193,2023-02-11,-5.7,-11.9,18.23,3.6,1.5,0.0,0.0,6.0
194,2023-02-12,-1.4,-9.0,18.27,3.65,0.0,0.0,0.0,0.0
195,2023-02-13,-0.0,-10.6,18.28,3.6,0.0,0.0,0.0,0.0
196,2023-02-14,0.6,-6.7,18.32,3.45,0.0,0.0,0.0,0.0
197,2023-02-15,3.4,-6.6,18.33,2.8,1.7,0.0,0.0,4.0
198,2023-02-16,2.9,-2.4,18.37,3.35,0.0,0.0,0.0,0.0
199,2023-02-17,-4.2,-16.9,18.38,2.95,17.6,0.0,0.0,14.0
200,2023-02-18,-4.9,-18.9,18.42,3.6,0.0,0.0,0.0,0.0
201,2023-02-19,-1.3,-8.8,18.43,3.25,0.0,0.0,0.0,0.0
202,2023-02-20,1.0,-9.0,18.45,2.95,0.4,0.0,0.0,2.0
203,2023-02-21,-8.5,-19.0,18.48,3.15,0.7,0.0,0.0,2.0
204,2023-02-22,-9.3,-14.3,18.5,4.05,0.0,0.0,0.0,0.0
205,2023-02-23,-12.7,-19.5,18.53,3.4,4.6,0.0,0.0,10.0
206,2023-02-24,-15.4,-20.4,18.55,3.6,0.2,0.0,0.0,2.0
207,2023-02-25,-16.8,-21.4,18.58,2.95,0.0,0.0,0.0,0.0
208,2023-02-26,-12.1,-21.4,18.6,2.75,0.8,0.0,0.0,4.0
209,2023-02-27,-8.8,-17.0,18.62,4.15,0.0,0.0,0.0,0.0
210,2023-02-28,-5.2,-11.5,18.65,2.3,19.5,0.0,0.0,18.0
211,2023-03-01,-1.5,-6.5,18.67,3.7,0.1,0.0,0.0,1.0
212,2023-03-02,-2.8,-6.1,18.68,3.35,5.8,0.0,0.0,13.0
213,2023-03-03,-5.4,-13.3,18.72,4.75,0.0,0.0,0.0,0.0
214,2023-03-04,-5.0,-12.3,18.73,3.05,17.1,0.0,0.0,18.0
215,2023-03-05,-0.8,-7.8,18.77,3.4,0.0,0.0,0.0,0.0
216,2023-03-06,-0.4,-7.8,18.78,4.9,0.0,0.0,0.0,0.0
217,2023-03-07,-4.6,-9.4,18.8,3.55,0.1,0.0,0.0,1.0
218,2023-03-08,-3.7,-9.6,18.83,2.95,0.2,0.0,0.0,1.0
219,2023-03-09,-2.5,-6.2,18.85,4.1,0.0,0.0,0.0,0.0
220,2023-03-10,-4.7,-8.7,18.87,5.05,0.0,0.0,0.0,0.0
221,2023-03-11,-1.2,-8.0,18.9,4.95,0.0,0.0,0.0,0.0
222,2023-03-12,0.3,-9.2,18.92,5.2,0.0,0.0,0.0,0.0
223,2023-03-13,0.1,-4.3,18.93,3.4,1.6,0.0,0.0,6.0
224,2023-03-14,-3.2,-4.8,18.97,3.25,0.1,0.2,1.47,9.0
225,2023-03-15,0.3,-6.9,18.98,4.65,0.0,0.1,0.0,1.0
226,2023-03-16,-2.5,-5.4,19.0,2.9,0.2,0.1,0.21,5.0
227,2023-03-17,0.2,-3.1,19.03,2.4,12.4,0.0,0.0,12.0
228,2023-03-18,-0.7,-7.8,19.05,4.8,0.4,0.4,0.0,6.0
229,2023-03-19,-7.2,-13.4,19.07,4.4,0.1,0.9,0.91,9.0
230,2023-03-20,-0.6,-11.2,19.1,5.1,0.0,0.0,0.0,0.0
231,2023-03-21,0.7,-3.7,19.12,3.95,0.0,0.0,0.0,0.0
232,2023-03-22,-4.3,-10.3,19.13,5.15,0.0,0.0,0.0,0.0
233,2023-03-23,-0.2,-5.4,19.17,1.15,12.6,0.0,0.0,10.0
234,2023-03-24,1.1,-4.8,19.18,5.3,0.0,0.0,0.0,0.0
235,2023-03-25,-1.4,-6.2,19.2,3.05,12.7,0.0,0.0,7.0
236,2023-03-26,-0.8,-3.4,19.23,4.0,6.2,0.0,0.0,9.0
237,2023-03-27,4.6,-3.9,19.25,5.2,0.0,0.0,0.0,0.0
238,2023-03-28,0.2,-4.0,19.27,5.1,0.0,0.0,0.0,0.0
239,2023-03-29,4.0,-6.2,19.28,4.95,2.7,0.0,0.0,3.0
240,2023-03-30,-4.4,-13.4,19.32,4.2,0.2,0.0,0.0,1.0
241,2023-03-31,0.5,-5.1,19.33,4.7,7.4,0.0,0.0,6.0
242,2023-04-01,9.5,-2.8,19.35,3.15,10.5,0.0,0.0,11.0
243,2023-04-02,-1.5,-12.6,19.38,5.6,0.0,0.0,0.0,0.0
244,2023-04-03,3.9,-5.8,19.4,4.25,0.0,0.0,0.0,0.0
245,2023-04-04,6.3,-4.7,19.42,5.8,0.0,0.0,0.0,0.0
246,2023-04-05,-3.3,-8.4,19.43,1.1,25.95,0.0,0.0,10.0
247,2023-04-06,6.6,-4.4,19.47,3.35,0.6,0.0,0.0,1.0
248,2023-04-07,1.0,-5.2,19.48,5.3,0.0,0.0,0.0,0.0
249,2023-04-08,0.9,-6.4,19.5,5.1,0.0,0.0,0.0,0.0
250,2023-04-09,5.9,-5.3,19.53,5.75,0.0,0.0,0.0,0.0
251,2023-04-10,13.3,-2.8,19.55,6.0,0.0,0.0,0.0,0.0
252,2023-04-11,13.4,5.0,19.57,4.15,0.0,0.0,0.0,0.0
253,2023-04-12,12.4,2.8,19.6,4.25,0.0,0.0,0.0,0.0
254,2023-04-13,25.6,3.3,19.62,6.3,0.0,0.0,0.0,0.0
255,2023-04-14,17.0,7.2,19.63,6.35,0.0,0.0,0.0,0.0
256,2023-04-15,22.5,1.6,19.65,6.4,0.0,0.0,0.0,0.0
257,2023-04-16,23.1,1.9,19.68,6.45,0.0,0.0,0.0,0.0
258,2023-04-17,9.8,5.1,19.7,0.75,13.35,0.0,0.0,8.0
259,2023-04-18,5.0,0.7,19.72,5.8,0.0,0.0,0.0,0.0
260,2023-04-19,1.2,-3.2,19.75,3.65,0.0,0.0,0.0,0.0
261,2023-04-20,5.6,-3.8,19.77,6.45,0.0,0.0,0.0,0.0
262,2023-04-21,12.6,-2.4,19.78,5.75,0.0,0.0,0.0,0.0
263,2023-04-22,18.4,3.7,19.8,5.45,0.0,0.0,0.0,0.0
264,2023-04-23,9.1,4.5,19.83,1.0,28.2,0.0,0.0,15.0
265,2023-04-24,7.0,3.8,19.85,0.8,2.4,0.0,0.0,4.0
266,2023-04-25,8.0,1.0,19.87,6.0,0.0,0.0,0.0,0.0
267,2023-04-26,10.0,-1.2,19.9,5.55,0.6,0.0,0.0,1.0
268,2023-04-27,12.6,-0.0,19.92,6.4,0.0,0.0,0.0,0.0
269,2023-04-28,17.8,-0.1,19.93,6.65,0.0,0.0,0.0,0.0
270,2023-04-29,13.6,6.8,19.95,4.2,7.65,0.0,0.0,5.0
271,2023-04-30,14.6,5.3,19.98,3.15,6.9,0.0,0.0,8.0
272,2023-05-01,10.3,2.1,20.0,3.9,36.3,0.0,0.0,14.0
273,2023-05-02,11.2,3.2,20.02,5.0,0.6,0.0,0.0,2.0
274,2023-05-03,7.0,3.6,20.03,1.95,1.2,0.0,0.0,2.0
275,2023-05-04,8.4,1.8,20.07,3.1,1.05,0.0,0.0,1.0
276,2023-05-05,15.8,3.3,20.08,4.65,0.0,0.0,0.0,0.0
277,2023-05-06,21.2,6.5,20.1,6.75,0.0,0.0,0.0,0.0
278,2023-05-07,20.7,8.0,20.13,6.5,0.0,0.0,0.0,0.0
279,2023-05-08,14.2,5.0,20.15,6.85,0.0,0.0,0.0,0.0
280,2023-05-09,13.7,0.8,20.17,6.8,0.0,0.0,0.0,0.0
281,2023-05-10,19.4,2.5,20.18,6.95,0.0,0.0,0.0,0.0
282,2023-05-11,23.5,7.6,20.2,6.95,0.0,0.0,0.0,0.0
283,2023-05-12,24.0,12.9,20.23,6.95,0.0,0.0,0.0,0.0
284,2023-05-13,18.0,5.6,20.25,7.05,0.0,0.0,0.0,0.0
285,2023-05-14,14.3,1.1,20.27,6.95,0.0,0.0,0.0,0.0
286,2023-05-15,16.7,4.4,20.28,6.9,0.0,0.0,0.0,0.0
287,2023-05-16,12.8,0.6,20.3,3.4,6.0,0.0,0.0,3.0
288,2023-05-17,3.1,-3.3,20.33,5.45,0.0,0.0,0.0,0.0
289,2023-05-18,11.8,-3.3,20.35,7.05,0.0,0.0,0.0,0.0
290,2023-05-19,21.9,3.0,20.37,6.65,0.0,0.0,0.0,0.0
291,2023-05-20,20.3,11.8,20.38,4.35,1.65,0.0,0.0,2.0
292,2023-05-21,20.6,7.3,20.4,5.35,1.05,0.0,0.0,1.0
293,2023-05-22,13.7,0.4,20.42,7.1,0.0,0.0,0.0,0.0
294,2023-05-23,21.3,1.0,20.43,7.25,0.0,0.0,0.0,0.0
295,2023-05-24,14.3,4.5,20.45,3.55,10.95,0.0,0.0,6.0
296,2023-05-25,15.7,2.0,20.47,7.05,0.0,0.0,0.0,0.0
297,2023-05-26,21.4,2.5,20.48,7.15,0.0,0.0,0.0,0.0
298,2023-05-27,26.0,9.2,20.5,7.25,0.0,0.0,0.0,0.0
299,2023-05-28,28.6,12.8,20.52,7.3,0.0,0.0,0.0,0.0
300,2023-05-29,20.7,10.1,20.53,7.35,0.0,0.0,0.0,0.0
301,2023-05-30,28.8,8.1,20.55,7.3,0.0,0.0,0.0,0.0
302,2023-05-31,32.0,14.3,20.57,7.35,0.0,0.0,0.0,0.0
303,2023-06-01,36.9,19.4,20.58,7.35,0.6,0.0,0.0,1.0
304,2023-06-02,34.5,9.5,20.6,7.25,0.0,0.0,0.0,0.0
305,2023-06-03,16.0,7.5,20.62,7.25,0.0,0.0,0.0,0.0
306,2023-06-04,17.4,3.8,20.62,5.55,0.0,0.0,0.0,0.0
307,2023-06-05,21.1,7.9,20.63,6.75,0.0,0.0,0.0,0.0
308,2023-06-06,18.6,11.4,20.65,7.3,0.6,0.0,0.0,1.0
309,2023-06-07,13.6,9.8,20.67,2.2,2.7,0.0,0.0,3.0
310,2023-06-08,15.7,8.9,20.67,3.6,0.0,0.0,0.0,0.0
311,2023-06-09,18.5,8.7,20.68,6.7,0.0,0.0,0.0,0.0
312,2023-06-10,22.8,11.8,20.68,7.25,0.0,0.0,0.0,0.0
313,2023-06-11,27.5,11.7,20.7,7.05,0.0,0.0,0.0,0.0
314,2023-06-12,30.2,19.3,20.72,4.25,0.0,0.0,0.0,0.0
315,2023-06-13,23.8,16.2,20.72,6.85,9.75,0.0,0.0,2.0
316,2023-06-14,25.8,12.4,20.73,6.6,0.0,0.0,0.0,0.0
317,2023-06-15,26.7,16.2,20.73,7.35,3.3,0.0,0.0,2.0
318,2023-06-16,25.1,16.0,20.75,7.15,39.0,0.0,0.0,3.0
319,2023-06-17,17.8,13.0,20.75,2.55,28.2,0.0,0.0,10.0
320,2023-06-18,18.1,11.0,20.75,2.65,0.0,0.0,0.0,0.0
321,2023-06-19,21.4,10.7,20.77,7.25,0.0,0.0,0.0,0.0
322,2023-06-20,27.3,11.2,20.77,7.35,0.0,0.0,0.0,0.0
323,2023-06-21,27.8,12.8,20.77,7.4,0.0,0.0,0.0,0.0
324,2023-06-22,30.3,16.3,20.77,7.5,0.0,0.0,0.0,0.0
325,2023-06-23,32.1,16.7,20.78,7.3,0.0,0.0,0.0,0.0
326,2023-06-24,28.4,23.4,20.78,3.0,11.55,0.0,0.0,6.0
327,2023-06-25,26.0,21.0,20.78,7.5,0.0,0.0,0.0,0.0
328,2023-06-26,31.1,20.0,20.78,7.35,0.0,0.0,0.0,0.0
329,2023-06-27,28.7,22.9,20.78,4.2,0.0,0.0,0.0,0.0
330,2023-06-28,24.7,17.2,20.78,5.75,57.75,0.0,0.0,3.0
331,2023-06-29,26.4,17.7,20.78,4.25,8.7,0.0,0.0,3.0
332,2023-06-30,30.9,19.3,20.77,7.15,0.0,0.0,0.0,0.0
333,2023-07-01,32.0,20.7,20.77,6.5,61.65,0.0,0.0,4.0
334,2023-07-02,28.0,22.0,20.77,5.7,165.3,0.0,0.0,4.0
335,2023-07-03,31.9,21.6,20.77,6.25,0.0,0.0,0.0,0.0
336,2023-07-04,33.7,23.1,20.75,7.35,0.0,0.0,0.0,0.0
337,2023-07-05,35.7,21.9,20.75,7.4,0.0,0.0,0.0,0.0
338,2023-07-06,36.8,25.5,20.75,7.5,0.0,0.0,0.0,0.0
339,2023-07-07,31.9,25.0,20.73,6.7,0.0,0.0,0.0,0.0
340,2023-07-08,32.9,23.7,20.73,7.4,0.0,0.0,0.0,0.0
341,2023-07-09,30.2,21.0,20.72,4.9,86.85,0.0,0.0,2.0
342,2023-07-10,25.0,22.0,20.72,3.05,50.55,0.0,0.0,15.0
343,2023-07-11,31.2,21.6,20.7,6.9,58.2,0.0,0.0,7.0
344,2023-07-12,26.3,20.3,20.7,7.35,0.0,0.0,0.0,0.0
345,2023-07-13,30.3,18.9,20.68,6.3,190.2,0.0,0.0,2.0
346,2023-07-14,29.6,17.7,20.68,7.3,0.0,0.0,0.0,0.0
347,2023-07-15,30.8,20.6,20.67,6.9,0.0,0.0,0.0,0.0
348,2023-07-16,32.0,23.4,20.65,6.6,1.2,0.0,0.0,2.0
349,2023-07-17,29.3,21.7,20.63,7.3,0.0,0.0,0.0,0.0
350,2023-07-18,28.9,21.5,20.62,6.45,0.6,0.0,0.0,1.0
351,2023-07-19,26.7,19.4,20.62,7.1,0.0,0.0,0.0,0.0
352,2023-07-20,30.4,17.4,20.6,7.15,0.0,0.0,0.0,0.0
353,2023-07-21,26.4,19.6,20.58,7.05,4.35,0.0,0.0,2.0
354,2023-07-22,24.8,18.4,20.57,5.15,0.0,0.0,0.0,0.0
355,2023-07-23,29.5,17.8,20.55,7.15,0.0,0.0,0.0,0.0
356,2023-07-24,31.9,20.0,20.53,7.05,0.0,0.0,0.0,0.0
357,2023-07-25,29.3,20.8,20.52,7.0,0.0,0.0,0.0,0.0
358,2023-07-26,31.0,22.1,20.5,6.85,0.0,0.0,0.0,0.0
359,2023-07-27,28.3,22.5,20.47,3.55,29.1,0.0,0.0,8.0
360,2023-07-28,30.9,23.4,20.45,7.0,24.9,0.0,0.0,2.0
361,2023-07-29,24.7,15.8,20.43,4.95,1.2,0.0,0.0,2.0
362,2023-07-30,23.8,10.3,20.42,6.9,18.9,0.0,0.0,2.0
363,2023-07-31,23.4,15.1,20.4,6.85,13.65,0.0,0.0,4.0
364,2023-08-01,19.7,10.1,20.37,6.75,0.0,0.0,0.0,0.0
