time,apparent_temperature_mean (Â°C),rain_sum (mm),snowfall_sum (cm)
2023-03-03,-12.8,0.00,0.00
2023-03-04,-9.1,0.00,7.42
2023-03-05,-6.3,0.00,0.00
2023-03-06,-7.5,0.00,0.00
2023-03-07,-10.0,0.10,1.47
2023-03-08,-7.5,0.00,0.00
2023-03-09,-5.9,0.00,0.00
2023-03-10,-8.2,0.00,0.00
2023-03-11,-8.1,0.00,0.00
2023-03-12,-8.5,0.00,0.00
2023-03-13,-5.2,1.10,0.77
2023-03-14,-4.5,1.00,2.03
2023-03-15,-4.9,0.00,0.00
2023-03-16,-5.6,0.10,0.00
2023-03-17,-2.7,10.00,0.56
2023-03-18,-5.2,0.20,0.00
2023-03-19,-12.6,0.00,0.28
2023-03-20,-7.0,0.20,0.28
2023-03-21,-4.6,0.10,0.21
2023-03-22,-8.8,0.00,0.21
2023-03-23,-2.9,7.80,0.28
2023-03-24,-4.7,0.00,0.00
2023-03-25,-7.3,0.80,6.02
2023-03-26,-3.6,2.70,2.24
2023-03-27,-3.0,0.00,0.00
2023-03-28,-4.4,0.30,0.00
2023-03-29,-4.7,1.10,0.49
2023-03-30,-11.1,0.00,0.07
2023-03-31,-7.0,0.40,4.13
2023-04-01,-1.2,12.60,1.19
2023-04-02,-9.3,0.00,0.00
2023-04-03,-4.8,1.00,0.28
2023-04-04,-1.9,0.00,0.00
2023-04-05,-7.7,33.40,0.70
2023-04-06,1.4,1.90,0.00
2023-04-07,-6.5,0.00,0.00
2023-04-08,-6.7,0.00,0.00
2023-04-09,-2.4,0.00,0.00
2023-04-10,1.7,0.00,0.00
2023-04-11,4.8,0.00,0.00
2023-04-12,3.3,0.40,0.00
2023-04-13,10.9,0.00,0.00
2023-04-14,8.2,0.00,0.00
2023-04-15,10.7,0.00,0.00
2023-04-16,12.4,0.00,0.00
2023-04-17,8.2,11.80,0.00
2023-04-18,1.3,1.20,0.00
2023-04-19,-1.7,0.40,0.00
2023-04-20,-0.1,0.00,0.00
2023-04-21,3.3,0.10,0.00
2023-04-22,9.2,2.10,0.00
2023-04-23,5.1,31.60,0.00
2023-04-24,3.8,8.00,0.00
2023-04-25,3.3,0.90,0.00
2023-04-26,2.3,2.00,0.00
2023-04-27,3.8,0.10,0.00
2023-04-28,6.9,0.00,0.00
2023-04-29,6.8,3.50,0.00
2023-04-30,4.9,15.10,0.00
2023-05-01,4.8,46.90,0.00
2023-05-02,4.9,9.40,0.00
2023-05-03,2.8,11.10,0.00
2023-05-04,2.9,2.10,0.00
2023-05-05,6.8,0.00,0.00
2023-05-06,10.7,0.00,0.00
2023-05-07,11.4,0.00,0.00
2023-05-08,7.5,0.00,0.00
2023-05-09,6.2,0.00,0.00
2023-05-10,9.2,0.00,0.00
2023-05-11,13.7,0.00,0.00
2023-05-12,15.2,0.80,0.00
2023-05-13,8.9,0.00,0.00
2023-05-14,6.1,0.00,0.00
2023-05-15,9.3,0.00,0.00
2023-05-16,5.9,14.10,0.00
2023-05-17,-0.5,0.10,0.00
2023-05-18,4.0,0.00,0.00
2023-05-19,12.0,0.50,0.00
2023-05-20,14.8,6.10,0.00
2023-05-21,12.4,3.00,0.00
2023-05-22,7.1,0.00,0.00
2023-05-23,12.1,0.00,0.00
2023-05-24,8.2,7.10,0.00
2023-05-25,7.8,0.00,0.00
2023-05-26,NaN,NaN,NaN
2023-05-27,NaN,NaN,NaN
2023-05-28,NaN,NaN,NaN
2023-05-29,NaN,NaN,NaN
2023-05-30,NaN,NaN,NaN
2023-05-31,NaN,NaN,NaN
2023-06-01,NaN,NaN,NaN
